iter	Passed	Remaining
557	3276	2595
558	3284	2591
559	3290	2585
560	3299	2581
561	3308	2578
562	3317	2575
563	3326	2571
564	3334	2566
565	3344	2564
566	3351	2559
567	3360	2555
568	3367	2550
569	3375	2546
570	3385	2543
571	3394	2539
572	3398	2532
573	3408	2529
574	3416	2525
575	3425	2521
576	3434	2517
577	3442	2513
578	3450	2508
579	3459	2504
580	3465	2499
581	3474	2495
582	3482	2491
583	3490	2486
584	3496	2480
585	3503	2475
586	3513	2471
587	3520	2466
588	3524	2459
589	3534	2456
590	3543	2452
591	3551	2447
592	3558	2442
593	3568	2438
594	3577	2434
595	3583	2428
596	3591	2424
597	3600	2420
598	3605	2413
599	3619	2413
600	3630	2410
601	3638	2405
602	3647	2401
603	3652	2394
604	3662	2391
605	3669	2385
606	3677	2381
607	3686	2376
608	3694	2372
609	3699	2365
610	3710	2362
611	3723	2360
612	3730	2354
613	3739	2350
614	3748	2346
615	3757	2342
616	3764	2336
617	3772	2331
618	3780	2326
619	3787	2321
620	3795	2316
621	3803	2311
622	3812	2307
623	3820	2302
624	3828	2297
625	3839	2293
626	3847	2288
627	3853	2282
628	3863	2278
629	3871	2273
630	3880	2269
631	3890	2265
632	3898	2260
633	3907	2255
634	3919	2253
635	3928	2248
636	3934	2241
637	3943	2237
638	3949	2231
639	3957	2226
640	3966	2221
641	3974	2216
642	3982	2211
643	3992	2206
644	4001	2202
645	4009	2197
646	4017	2191
647	4024	2186
648	4029	2179
649	4038	2174
650	4049	2170
651	4057	2165
652	4065	2160
653	4073	2155
654	4081	2149
655	4089	2144
656	4097	2139
657	4106	2134
658	4114	2128
659	4120	2122
660	4126	2116
661	4134	2111
662	4142	2105
663	4152	2101
664	4160	2095
665	4166	2089
666	4175	2084
667	4183	2078
668	4185	2070
669	4189	2063
670	4193	2056
671	4197	2048
672	4200	2041
673	4203	2033
674	4208	2026
675	4215	2020
676	4217	2012
677	4224	2006
678	4231	2000
679	4238	1994
680	4245	1988
681	4253	1983
682	4261	1977
683	4266	1971
684	4275	1966
685	4284	1960
686	4290	1954
687	4298	1949
688	4307	1944
689	4311	1936
690	4314	1929
691	4316	1921
692	4318	1913
693	4321	1905
694	4324	1897
695	4326	1889
696	4329	1881
697	4332	1874
698	4334	1866
699	4337	1858
700	4339	1851
701	4342	1843
702	4345	1835
703	4347	1828
704	4350	1820
705	4353	1812
706	4356	1805
707	4358	1797
708	4361	1790
709	4363	1782
710	4366	1774
711	4369	1767
712	4371	1759
713	4374	1752
714	4377	1744
715	4379	1737
716	4382	1729
717	4385	1722
718	4388	1715
719	4391	1707
